"language"	"langcode"	"family"	"location"	"core inventory"	"marginal inventory"	"reference"
"Kayah Li, Eastern"	"KAYA"	"SINO-TIBETAN"	"Burma"	"pʰ,tʰ,tʃʰ,kʰ,p,t,tʃ,k,ʔ,i,ɯ,u,b,d,e,ɤ,o,s,h,ɛ,ʌ,ɔ,m,n,ŋ,a,w,l,j,r,"		"Solnit, David B. (1997) Eastern Kayah Li: Grammar, Texts, Glossary. University of Hawai’i Press."
"Kedang"	"KEDA"	"AUSTRONESIAN"	"Indonesia"	"p,t,k,ʔ,b,d,ɡ,i,i̞,u,u̞,s,h,ɛ,ɛ̞,o,o̞,v,æ,æ̞,a,a̞,m,n,ŋ,l,r,j,"		"Samely, Ursula (1991) Kedang (Eastern Indonesia) Some Aspects of its Grammar. Forum Phoneticum 46. Hamburg: Helmut Buske Verlag."
"Kharia"	"KHAR"	"AUSTRO-ASIATIC"	"India"	"pʰ,tʰ,ʈʰ,tʃʰ,kʰ,p,t,ʈ,tʃ,k,bʰ,dʰ,ɖʰ,dʒʰ,ɡʰ,i,u,b,d,ɖ,dʒ,ɡ,e,o,s,h,a,m,n,ɲ,ŋ,l,r,ɽ,w,j,"		"Bilgiri, H. S. (1965) Kharia: Phonology, Grammar, and Vocabulary. Poona: Deccan College Postgraduate and Research Institute."
"Khmer"	"KHME"	"AUSTRO-ASIATIC"	"Cambodia, Thailand, and Vietnam"	"p,t,c,k,ʔ,b,d,i,ɯ,u,f,s,h,e̝,ə̝,v,ʒ,e,ə,o,m,n,ɲ,ŋ,ɛ,ɔ,r,ɑ,ɒ,l,"		"Gorgoniyev, Y. A. (1966) The Khmer Language. Moscow: Nauka Publishing House"
"Khmuʔ"	"KHMU"	"AUSTRO-ASIATIC"	"Laos, Vietnam, Thailand"	"p,t,c,k,ʔ,b,d,ɟ,ɡ,i,ɨ,u,m,n,ɲ,ŋ,e,ə,o,s,h,ɛ,a,ɔ,l,w,r,j,"		"Smalley, William A. (1961) Outline of Khmuʔ Structure. New Haven: American Oriental Society."
"Kickapoo"	"KICK"	"ALGIC"	"USA, Mexico"	"p,t,tʃ,k,θ,s,h,i,o,m,n,ɛ,a,w,j,"		"Voorhis, Paul H. (1974) Introduction to the Kickapoo Language. Bloomington: Indiana University."
"Kihungan"	"KIHU"	"NIGER-CONGO (Bantu)"	"Democratic Republic of Congo"	"pʰ,tʰ,kʰ,t,k,b,d,ɡ,i,u,f,s,h,ɛ,ɔ,v,z,a,m,n,ŋ,l,r,w,j,"		"Takizala, Alexis (1974) Studies in the Grammar of Kihungan. Ann Arbor: UMI."
"Kilivila/Kiriwina"	"KILI"	"AUSTRONESIAN"	"Papua New Guinea"	"p,t,k,b,d,ɡ,pʷ,kʷ,i,u,bʷ,ɡʷ,e,o,s,a,β,m,n,ŋ,ei,oi,mʷ,eu,ou,r,ai,l,au,w,j,"		"Lawton, Ralph (1993) Topics in the Description of Kiriwina. Canberra: Pacific Linguistics."
"Kimatuumbi"	"KIMA"	"NIGER-CONGO (Bantu)"	"Tanzania"	"p,t,tʃ,k,ɓ,ɗ,ʄ,ɠ,i̝,u̝,s,i,u,ɛ,ɔ,m,n,ɲ,ŋ,a,l,w,j,"	"f,v,z,r,"	"Odden, David (1996) The Phonology and Morphology of Kimatuumbi. Oxford: Clarendon Press."
"Kinnauri"	"KINN"	"SINO-TIBETAN"	"India"	"pʰ,tʰ,ʈʰ,kʰ,p,t,ʈ,k,b,d,ɖ,ɡ,tsʰ,tʃʰ,i,u,ts,tʃ,e,ə,o,dz,dʒ,ɔ,a,s,ʃ,h,z,ʒ,r,l,m,n,ɳ,ɲ,ŋ,w,j,"		"Sharma, D. D. (1988) A Descriptive Grammar of Kinnauri. Delhi: Mittal Publications."
"Kinyamwezi (Nyamwezi)"	"KINM"	"NIGER-CONGO (Bantu)"	"Tanzania"	"p,t,cʃ,k,ɲ̥cʃ,i,u,b,d,ɟ,ɡ,ɪ,ʊ,b,ⁿd,ⁿɟ,ɡ,e,o,f,s,ʃ,h,a,ɱ̥f,n̥s,ɲ̥ʃ,v,z,v,ⁿz,m,n,ɲ,ŋ,m̥,n̥,ɲ̥,ŋ̥,β,l,j,w,"		"Maganga, Clement, and Thilo C. Schadeberg (1992) Kinyamwezi: Grammar, Texts, Vocabulary. Köln: Rüdinger Köppe Verlag."
"Kinyarwanda (Rwanda)"	"KINR"	"NIGER-CONGO (Bantu)"	"Rwanda, Uganda, Democratic Republic of Congo, and Tanzania"	"p,t,c,k,d,ɟ,ɡ,i,u,pf,ts,tʃ,e,o,f,s,ʃ,ɕ,x,a,β,v,z,ʒ,m,n,ɲ,r,j,w,"		"Kimenyi, Alexandre (1979) Studies in Kinyarwanda and Bantu Phonology. Edmonton: Linguistic Research Inc."
"Kiowa"	"KIOW"	"KIOWA TANOAN"	"USA"	"pʰ,t̪ʰ,kʰ,p,t̪,k,ʔ,i,u,pʼ,t̪ʼ,kʼ,e,o,b,d̪,ɡ,a,ɔ,ts,tsʼ,ĩ,ũ,s,h,ẽ,õ,z,ã,ɔ̃,m,n̪,l̪,j,"		"Watkins, Laurel J. (1984) A Grammar of Kiowa. Lincoln: University of Nebraska Press."
"Kirghiz"	"KIRG"	"ALTAIC (Turkic)"	"Kyrghyzstan, China"	"p,t̪,ts,tʃ,q,b,d̪,dʒ,ɢ,i,y,ɨ,u,f,s,ʃ,x,e,ø,a,o,β,z,ʒ,m,n,ŋ,l,r,j,"		"Hebert, Raymond J. and Nicholas Poppe (1963) Kirghiz Manual. Bloomington/The Hague: Mouton & Co./Indiana University."
"Kiribati"	"KIRI"	"AUSTRONESIAN"	"Kiribati, Fiji, Solomon Islands, and Tuvalu"	"t,k,b,i,u,v,e,o,m,n,ŋ,a,r,w,ʔ,"		"Groves, Terab’ata R., Gordon W. Groves, and Roderick Jacobs  (1985) Kiribatese Canberra: Pacific Linguistics."
"Kiribati (northern dialect)"	"KIRN"	"AUSTRONESIAN"	"Kiribati"	"t,k,b,i,u,v,e,o,m,n,ŋ,a,r,w,ʔ,"		"Groves, Terab’ata R., Gordon W. Groves, and Roderick Jacobs  (1985) Kiribatese Canberra: Pacific Linguistics."
"Kiribati (southern dialect)"	"KIRS"	"AUSTRONESIAN"	"Kiribati"	"t,k,b,i,u,v,e,o,m,n,ŋ,a,r,w,ʔ,"		"Groves, Terab’ata R., Gordon W. Groves, and Roderick Jacobs  (1985) Kiribatese Canberra: Pacific Linguistics."
"Kisar"	"KISA"	"AUSTRONESIAN"	"Indonesia"	"p,t,ʈ,k,ʔ,s,h,i,u,m,n,e,a,o,r,l,w,j,"		"Christenson, John, and Sylvia Christenson (1992) Kisar Phonology. In Burquest and Laidig (1992)."
"Kisi"	"KISI"	"NIGER-CONGO (Bantu)"	"Tanzania"	"pʰ,tʰ,tʃʰ,kʰ,k͡p,b,ⁿd,ɡ,ɡ͡b,i,u,ɓ,ɗ,ɠ͡ɓ,e,o,f,s,h,ɛ,ɔ,m,n,ɲ,ŋ,a,l,j,w,"		"Childs, George Tucker (1990) Phonology and Morphology of Kisi. Ann Arbor: UMI."
"Klamath"	"KLAM"	"PENUTIAN"	"USA"	"p,t,c,k,q,ʔ,pʼ,tʼ,cʼ,kʼ,qʼ,i,o,b,d,ɟ,ɡ,ɢ,e,a,s,h,m,n,iː,oː,m̥,n̥,eː,aː,mʼ,n’,m̩,n̩,w,l,j,ʍ,l̥,j̥,wʼ,lʼ,jʼ,l̩,"		"White, Robin Barbara Davis (1973) Klamath Phonology. University of Washington Studies in Linguistics and Language Learning volume XII."
"Koiari"	"KOIA"	"TRANS-NEW GUINEA"	"Papua New Guinea"	"t,k,b,d,ɡ,i,u,ɸ,s,h,e,o,β,a,m,n,l,j,"		"Dutton, Tom E. (1996) Koiari. München: Lincom Europa."
"Kolami"	"KOLA"	"DRAVIDIAN"	"India"	"p,t̪,ʈ,tʃ,k,b,d̪,ɖ,dʒ,ɡ,iː,uː,s,i,u,z,eː,oː,m,n̪,ŋ,e,o,l,aː,r,a,v,j,"		"Emeneau, M. B. (1961) Kolami: A Dravidian Language. Annamalainagar: Annamalai University."
"Kombai"	"KOMB"	"TRANS-NEW GUINEA"	"Indonesia (Irian Jaya)"	"b,ⁿd,ɟ,ɡ,ɡʷ,m,n,i,y,ɯ,u,ɸ,x,xʷ,e,a,o,l,r,w,ɥ,j,"		"de Vreis, Lourens (1993) Forms and Functions in Kombai, an Awyu Language of Irian Jaya. Canberra: Pacific Linguistics."
"Koraga, Mudu"	"MUDU"	"DRAVIDIAN"	"India"	"p,t,ʈ,tʃ,k,b,d,ɖ,dʒ,ɡ,i,iː,ɨ,u,uː,m,n,ɳ,e,eː,a,aː,o,oː,s,h,l,ɭ,v,r,j,"		"Bhat, D. N. S. (1971) The Koraga Language. Poona: Deccan College Postgraduate and Research Institute."
"Koraga, Onti"	"ONTI"	"DRAVIDIAN"	"India"	"p,t,ʈ,tʃ,k,b,d,ɖ,dʒ,ɡ,i,iː,ɨ,u,uː,m,n,ŋ,e,eː,a,aː,o,oː,s,l,v,r,j,"		"Bhat, D. N. S. (1971) The Koraga Language. Poona: Deccan College Postgraduate and Research Institute."
"Koraga, Tappu"	"TAPP"	"DRAVIDIAN"	"India"	"p,t,ʈ,tʃ,k,b,d,ɖ,dʒ,ɡ,i,iː,ɨ,u,uː,m,n,ɳ,e,eː,a,aː,o,oː,s,h,l,ɭ,v,r,j,"		"Bhat, D. N. S. (1971) The Koraga Language. Poona: Deccan College Postgraduate and Research Institute."
"Korean"	"KORE"	"LANGUAGE ISOLATE"	"South Korea, North Korea, China, Japan"	"pʰ,tʰ,cɕʰ,kʰ,p,t,cɕ,k,i,ɨ,u,p̀,t̀,c̀ɕ,k̀,e,ʌ,o,s,h,ɛ,s̀,a,m,n,ŋ,l,"		"Yi, Hyon-bok (1989) Korean grammar. New York: Oxford University Press."
"Koromfé"	"KORM"	"NIGER-CONGO"	"Burkina Faso"	"p,t,k,b,d,ɡ,ɪ,i,ɪː,iː,ʊ,u,ʊː,uː,f,s,ɪ̃,ĩ,ɪ̃ː,ĩː,ʊ̃,ũ,ʊ̃ː,ũː,v,z,ɛ,e,ɛː,eː,ɔ,o,ɔː,oː,m,n,ŋ,ɛ̃,ẽ,ɛ̃ː,ẽː,ɔ̃,õ,ɔ̃ː,a,ʌ,aː,ʌː,l,ã,ʌ̃,ãː,ʌ̃ː,w,j,h,"	"ɾ,"	"Rennison, John R. (1997) Koromfe. New York: Routledge."
"Korowai"	"KORW"	"TRANS-NEW GUINEA"	"Indonesia (Irian Jaya)"	"p,t,k,b,d,ɟ,ɡ,i,y,u,b,ⁿd,ɡ,e,ɸ,s,x,ɛ,a,ɔ,m,n,l,ɥ,w,j,"		"van Enk, Gerrit J., and Lourens de Vries (1997) The Korowai of Irian Jaya. New York: Oxford University Press."
"Koyukon, Central Outer"	"KOYU"	"NA-DENE"	"USA (Alaska)"	"t,tl,ts,k,q,ʔ,tʼ,tlʼ,tsʼ,kʼ,qʼ,iː,uː,b,d,dl,dz,ɡ,ɢ,ɔː,ɬ,s,x,ʌ,ɔ,z,ɣ,ə,n,aː,l,j,"		"Kroul, Mary Valentine (1980) The Phonology and Morphology of the Central Outer Koyukon Athapaskan Language. Ann Arbor: UMI."
"Kpan (Kente dialect)"	"KPAN"	"NIGER-CONGO"	"Nigeria"	"p,t,k,ts,b,d,ɡ,i,ĩ,u,ũ,dz,ɛ,ɛ̃,ɔ,ɔ̃,f,s,h,a,ã,v,z,ɣ,m,n,ŋ,r,w,j,"		"Shimizu, Kiyoshi (1980a) Comparative Jukunoid. Vol 1. Wien: Beiträge zur Afrikanistik."
"Kpelle"	"KPEL"	"NIGER-CONGO"	"Liberia"	"p,t,k,k͡p,b,d,ɡ,ɡ͡b,i,u,f,s,h,e,o,v,z,ɣ,ɛ,ɔ,m,n,ɲ,ŋ,a,l,w,j,"		"Westerman, D., and H. J. Melzian (1974) The Kpelle Language in Liberia. Berlin: Dietrich Reimer/Ernst Vohsen."
"Kporo"	"KPOR"	"NIGER-CONGO"	"Cameroon, Nigeria"	"p,t,k,k͡p,ts,b,d,ɡ,ɡ͡b,i,ĩ,u,ũ,dz,e,ẽ,ɨ,ɨ̃,o,õ,f,θ,s,h,ɛ,ɛ̃,a,ã,v,ð,z,ɣ,m,n,ŋ,ŋ͡m,r,w,j,"		"Shimizu, Kiyoshi (1980a) Comparative Jukunoid. Vol 1. Wien: Beiträge zur Afrikanistik."
"Kristang (Malaccan Creole Portuguese)"	"KRIS"	"CREOLE"	"Malaysia"	"p,t,tʃ,k,b,d,dʒ,ɡ,i,u,f,s,e,o,z,ɛ,ə,ɔ,m,n,ɲ,ŋ,a,r,l,"	"v,"	"Baxter, Alan N. (1988) A Grammar of Kristang (Malacca Creole Portuguese). Pacific Linguistics Series B – No. 95. Canberra: Pacific Linguistics."
"Kriyol (Upper Guinea Crioulo)"	"KRIY"	"CREOLE"	"Guinea-Bissau and Senegal"	"p,t,c,k,b,d,ɟ,ɡ,i,u,f,s,e,o,a,m,n,ɲ,ŋ,l,ʎ,ɾ,w,j,"	"ʃ,v,z,ʒ,"	"Kihm, Alain (1994) Kriyol Syntax: The Portuguese-based Creole Language of Guinea-Bissau. Philadelphia: John Benjamins."
"Kui"	"KUIX"	"DRAVIDIAN"	"India"	"p,t̪,ʈ,c,k,b,d̪,ɖ,ɟ,ɡ,i,u,iː,uː,s,h,ɛ,ɔ,ɛː,ɔː,v,a,aː,m,n,ɳ,r,ɽ,l,"		"Winfield, Rev. W. W. (1928) A Grammar of the Kui Language. Calcutta: Baptist Mission Press."
"Kuku-Yalanji"	"KUKY"	"AUSTRALIAN (Pama-Nyungan)"	"Australian"	"b,d,d̪ʲ,ɖ,ɡ,m,n,n̪ʲ,ɳ,ŋ,i,u,r,a,l,w,ɻ,j,"		"Holmer, Nils M. (1988) Notes on Some Queensland Languages. Canberra: Pacific Linguistics."
"Kumiái (Jamul Tiipay dialect)"	"JAMU"	"HOKAN"	"Mexico and USA"	"p,t̪,t,tʃ,k,kʷ,ʔ,s̪,ʃ,x,xʷ,iː,uː,ɬ,ʎ̥,i,u,m,n̪,ɲ,ə,l,ʎ,aː,r,a,j,w,"		"Gorbet, Larry Paul (1976) A Grammar of Diegueño Nominals. New York: Garland Publishing, Inc."
"Kumiái (Diegueño)"	"KUMI"	"HOKAN"	"Mexico, USA"	"p,t̪,t,cç,k,kʷ,q,s̪,ʃ,x,xʷ,iː,uː,ɬ,ʎ̥,i,u,m,n̪,n,ɲ,l,ʎ,r̪,r,aː,j,w,a,"	"oː,o,"	"Gorbet, Larry Paul (1976) A Grammar of Diegueño Nominals. New York: Garland Publishing, Inc."
"Kurmanji (Kurdish)"	"KURM"	"INDO-EUROPEAN (Indo-Iranian)"	"Turkey, Syria, Iran"	"pʰ,tʰ,cʰ,kʰ,p,pˤ,t,tˤ,c,cˤ,k,kˤ,ʔ,i,u,b,d,ɟ,ɡ,ɪ,ʊ,f,s,sˤ,ʃ,x,ħ,h,e,o,z,zˤ,ʒ,æ,a,m,n,l,ɾ,r,w,j,ʕ,"		"Kahn, Margaret (1976) Borrowing and variation in a phonological description of Kurdish. Ann Arbor: UMI."
"Kurux"	"KURU"	"DRAVIDIAN"	"India"	"pʰ,tʰ,ʈʰ,tʃʰ,kʰ,p,t,ʈ,tʃ,k,i,iː,u,uː,bʰ,dʰ,ɖʰ,dʒʰ,ɡʰ,e,eː,o,oː,b,d,ɖ,dʒ,ɡ,a,aː,s,h,mʰ,nʰ,m,n,ĩ,ĩː,ũ,ũː,rʰ,ẽ,ẽː,õ,õː,r,ʀ,ã,ãː,l,wʰ,jʰ,w,j,"		"Gordon, Kent H. (1976) A Phonology of Dhangar-Kurux. Kathmandu: Tribhuvan University Press."
"Kutep (Lissam dialect)"	"KUTE"	"NIGER-CONGO"	"Nigeria"	"p,t,k,b,d,ɡ,i,u,dz,e,ɨ,o,b,ⁿd,ɡ,ɛ,a,ⁿdz,f,s,z,m,n,ŋ,N?,l,r,w,j,"		"Shimizu, Kiyoshi (1980a) Comparative Jukunoid. Vol 1. Wien: Beiträge zur Afrikanistik."
"Kuvi"	"KUVI"	"DRAVIDIAN"	"India"	"p,t,ʈ,tʃ,k,ʔ,b,d,ɖ,dʒ,ɡ,s,i,u,m,n,ɳ,ŋ,e,o,l,a,r,ɽ,v,j,h,"		"Israel, M. (1979) A Grammar of the Kuvi Language. Vanchiyoor: Dravidian Linguistics Association."
"Kwamera"	"KWAM"	"AUSTRONESIAN"	"Vanuatu"	"pʷ,p,t,k,kʷ,fʷ,f,s,i,u,mʷ,m,n,ŋ,e,ɨ,o,ɾ,a,v,h,"		"Lindstrom, Lamont, and John Lynch (1994) Kwamera. Muenchen: Lincom Europa."
"Lakota"	"LAKO"	"SIOUAN"	"USA and Canada"	"pʰ,t̪ʰ,cʰ,kʰ,ʔ,p,t̪,c,k,i,u,pʼ,t̪ʼ,cʼ,kʼ,e,o,s̪,ʃ,x,h,a,s̪ʼ,ʃʼ,xʼ,z̪,ʒ,ɣ,l,ã,m,n,w,j,"		"Patterson, Trudi Alice (1990) Theoretical aspects of Dakota morphology and phonology. Ann Arbor: UMI."
"Lama"	"LAMA"	"NIGER-CONGO"	"Togo and Benin"	"p,t,k,k͡p,cç,i,ɨ,u,f,s,h,ɪ,ʌ̝,ʊ,m,n,ɲ,e,o,r,ɛ,ɔ,l,a,j,w,"		"Ourso, Meterwa (1989) Lama Phonology and Morphology. Ann Arbor: UMI."
"Lango"	"LANG"	"NIGER-CONGO"	"Sudan"	"p,t,tɕ,k,b,d,dʑ,ɡ,i,u,m,n,ɲ,ŋ,ɪ,ʊ,ɾ,e,ə,o,l,ɛ,ɔ,j,w,a,"		"Noonan, Michael (1992) A Grammar of Lango. New York: Mouton de Gruyter."
"Lao"	"LAOX"	"TAI-KADAI"	"Laos"	"pʰ,tʰ,kʰ,tʰʷ,kʰʷ,p,t,tʃ,k,ʔ,tʃʷ,kʷ,b,d,i,ɯ,u,f,s,h,iə,ɯə,uə,sʷ,e,ɤ,o,m,n,ɲ,ŋ,ɛ,ɔ,ŋʷ,a,l,lʷ,r,w,j,"		"Morev, L. N., A. A. Moskalev, and Y. Y. Plam (1979) The Lao Language. Moscow: U.S.S.R. Academy of Sciences Institute of Oriental Studies."
"Larike"	"LARI"	"AUSTRONESIAN"	"Indonesia"	"p,t,tʃ,k,ʔ,b,d,dʒ,ɡ,i,u,s,h,e,o,m,n,ŋ,a,l,r,w,j,"		"Laidig, Carol J. (1992) Segments, Syllables, and Stress in Larike. In Burquest and Laidig (1992)."
"Latvian"	"LATV"	"INDO-EUROPEAN (Baltic)"	"Latvia"	"p,t̪,t̪ʲ,k,b,d̪,d̪ʲ,ɡ,iː,uː,t̪s̪,tʃ,ɛː,oː,d̪z̪,dʒ,æː,aː,f,s̪,ʃ,x,v,z̪,ʒ,i,u,m,n̪,n̪ʲ,ɛ,r̪,l,lʲ,æ,a,j,"	"o,"	"Mathiassen, Terje (1974) A Short Grammar of Latvian. Columbus, OH: Slavica Publishers, Inc."
"Lealao Chinantec (Lealao Chinanteco)"	"LEAL"	"OTO-MANGUEAN"	"Mexico"	"p,t,k,ʔ,b,d,ɡ,i,ɯ,u,f,s,h,e,o,v,z,a,m,n,ŋ,l,r,j,"		"Rupp, James E. (1989) Lealao Chinantec Syntax. Studies in Chinantec Languages Volume 2. Arlington, TX: Summer Institute of Linguistics and the University of Texas at Arlington."
"Lele"	"LELE"	"AFRO-ASIATIC (Chadic)"	"Chad"	"p,t,tʃ,k,k͡p,b,d,dʒ,ɡ,ɡ͡b,i,u,ɓ,ɗ,ɛ,ɔ,b,ⁿd,ⁿdʒ,b,a,s,h,m,n,ŋ,r,l,w,j,"		"Frajzyngier, Zygmunt (2001) A Grammar of Lele. Stanford: CSLI Publications."
"Lezgian (Lezgi)"	"LEZG"	"NORTH CAUCASIAN"	"Russia and Azerbaijan"	"pʰ,tʰ,tʰʷ,kʰ,kʰʷ,qʰ,qʰʷ,p,t,tʷ,k,kʷ,q,qʷ,ʔ,i,y,u,pʼ,tʼ,tʼʷ,kʼ,kʼʷ,qʼ,qʼʷ,e,b,d,ɡ,ɡʷ,æː,aː,tsʰ,tsʰʷ,tʃʰ,æ,a,ts,tsʷ,tʃ,tsʼ,tsʼʷ,tʃʼ,f,s,sʷ,ʃ,x,χ,χʷ,h,z,zʷ,ʒ,ʁ,ʁʷ,m,n,l,r,w,j,"		"Haspelmath, Martin (1993) A Grammar of Lezgian. New York: Mouton de Gruyter."
"Limbu"	"LIMB"	"SINO-TIBETAN"	"Nepal and India"	"pʰ,tʰ,kʰ,i,u,p,t,ts,k,ʔ,e,o,ɛ,ɔ,b,d,ɡ,a,m,n,ŋ,s,iː,uː,ɦ,ɛː,ɔː,w,l,j,aː,"	"tsʰ,ʈʰ,ʈ,bʰ,dʰ,ɖʰ,ɡʰ,dz,ɖ,ɛi̯,ɔi̯,eː,oː,r,ɽ,"	"Weidert, A., and B. Subba (1985) Concise Limbu Grammar and Dictionary. Amsterdam: Lobster Publications."
"Lingala"	"LING"	"NIGER-CONGO (Bantu)"	"Democratic Republic of Congo and Republic of Congo"	"p,t,k,b,d,ɡ,i,u,f,s,e,o,z,ɛ,ɔ,m,n,a,l,w,j,"	"v,"	"Odhner, John D. (1981) English-Lingala Manual. Washington, D.C.: University Press of America."
"Lithuanian"	"LITH"	"INDO-EUROPEAN (Baltic)"	"Lithuania"	"p,pʲ,t,tʲ,k,kʲ,iː,uː,b,bʲ,d,dʲ,ɡ,ɡʲ,eː,oː,ts,tsʲ,tʃ,tʃʲ,æː,dz,dzʲ,dʒ,dʒʲ,ɑː,s,sʲ,ʃ,ʃʲ,ɪ,ʊ,z,zʲ,ʒ,ʒʲ,m,mʲ,n,nʲ,ɛ,l,lʲ,r,rʲ,a,ʋ,ʋʲ,j,iɛ,uɔ,"	"f,fʲ,x,xʲ,ɣ,ɣʲ,e,ɔ,"	"Ambrazas, Vytautas, Emma Geniušienė, Aleksas Girdenis, Nijolė Sližienė, Dalija Tekorienė, Adelė Valeckienė, and Elena Valiulytė (1997) Lithuanian Grammar. Lithuania: Baltos Lankos. "
"Lomongo (Mongo-Nkundu)"	"LOMO"	"NIGER-CONGO"	"Democratic Republic of Congo"	"t,k,ts,tʃ,b,d,dʒ,i,u,ⁿdʒ,e,o,f,s,a,z,m,n,ŋ,l,w,j,"		"Ruskin, E. A., and L. Ruskin (1934) Bongandanga: C.B.M. Press."
"Loniu"	"LONI"	"AUSTRALIAN (Pama-Nyungan)"	"Papua New Guinea"	"p,pʷ,t,tʃ,k,s,h,i,u,m,mʷ,n,ɲ,ŋ,e,o,l,ɛ,ɔ,r,a,w,j,"		"Hamel, Patricia J. (1985) A Grammar of Loniu. Ann Arbor: UMI.\nHamel, Patricia J. (1994) A Grammar and Lexicon of Loniu, Papua New Guinea. Canberra: Pacific Linguistics."
"Lorma"	"LORM"	"NIGER-CONGO"	"Liberia"	"p,t,k,k͡p,b,d,ɡ,i,u,ɓ,e,o,f,s,ɛ,ɔ,β,v,z,ɣ,a,m,n,ŋ,w̃,j̃,w,l,j,"		"Dwyer, David James (1981) A Reference Handbook of Lorma. East Lansing: Michigan State University."
"Lotha"	"LOTH"	"SINO-TIBETAN"	"India"	"pʰ,tʰ,tsʰ,tʃʰ,kʰ,p,pf,t,ts,tʃ,k,pv,f,s,ʃ,h,i,u,v,z,ʒ,e,o,mʰ,nʰ,ɲʰ,ŋʰ,ə,m,n,ɲ,ŋ,a,lʰ,l,rʰ,w,r,j,"		"Acharya, K. P. (1983) Lotha Grammar. Mysore: Central Institute of Indian Languages."
"Louisiana Creole French"	"LOUI"	"CREOLE"	"USA"	"p,t,tʃ,k,i,y,u,b,d,dʒ,ɡ,ɪ,f,s,ʃ,e,ø,o,v,z,ʒ,ɛ,œ,ɔ,m,n,ŋ,æ,a,l,r,ẽ,ɔ̃,w,ɹ,j,ɥ,ã,"		"Klingler, Thomas A. (1992) A descriptive study of the Creole speech of Pointe Coupee Parish, Louisiana with focus on the lexicon. Ann Arbor: UMI."
"Lumasaaba (Masaba)"	"LUMA"	"NIGER-CONGO (Bantu)"	"Uganda"	"p,t,k,b,d,ɡ,i,u,f,s,e,o,β,z,a,m,n,ŋ,l,j,"		"Brown, Gillian (1972) Phonological Rules and Dialect Variation. Cambridge: Cambridge University Press."
"Lusi"	"LUSI"	"AUSTRONESIAN"	"Papua New Guinea"	"p,t,k,b,ⁿd,ɡ,s,h,i,u,β,ɣ,e,o,m,n,ŋ,a,ɾ,r,l,w,"		"Counts, David R. (1969) A Grammar of Kaliai-Kove. Honolulu: University of Hawaii Press."
"Maale"	"MAAL"	"AFRO-ASIATIC"	"Ethiopia"	"p,t,c,k,ʔ,b,d,ɟ,ɡ,iː,uː,cʼ,kʼ,i,u,ɓ,ɗ,eː,oː,ts,e,o,s,ʃ,h,aː,z,ʒ,a,sʼ,m,n,l,r,w,j,"		"Amha, Azeb (2001) The Maale language. Leiden: Research School of Asian, African, and Amerindian Studies, Universiteit Leiden."
"Maasai"	"MAAS"	"NILO-SAHARAN"	"Kenya and Tanzania"	"p,t,tʃ,k,b,d,dʒ,ɡ,i,u,ɡʰ,e,o,p*,s,ʃ,a,b*,m,n,ɲ,ŋ,w*,l,ʋ*,r,ʍ,w,j,"	"h,"	"Hollis, Alfred C. (1971) The Masai: Their Language and Folklore. Freeport, NY: Books for Libraries Press."
"Macuxi (Macushi)"	"MACU"	"CARIB"	"Guyana and Brazil"	"p,t,k,ʔ,s,iː,ɨː,uː,i,ɨ,u,m,n,ŋ,eː,oː,e,o,ɾ,aː,a,w,j,"		"Carson, Neusa Martins (1982) Phonology and Morphosyntax of Macuxi (Carib). Ann Arbor: UMI."
"Mada"	"MADA"	"AFRO-ASIATIC (Chadic)"	"Cameroon"	"p,t,k,kʷ,b,d,ɡ,ɡʷ,ɓ,ɗ,i,u,b,ⁿd,ɡ,e,ø,o,ts,ə,dz,a,ⁿdz,f,s,v,z,ɬ,ɮ,m,n,ŋ,l,r,w,j,h,hʷ,"		"Rossing, Melvin Olaf (1978) Mafa-Mada. Ann Arbor: UMI."
"Madurese"	"MADU"	"AUSTRONESIAN"	"Indonesia"	"pʰ,t̪ʰ,ʈʰ,tʃʰ,kʰ,p,t̪,ʈ,tʃ,k,ʔ,i,ɨ,ɤ,u,b,d̪,ɖ,dʒ,ɡ,ɛ,ə,ɑ,ɔ,s,m,n,ɲ,ŋ,r,l,j,h,"		"Davies, William (1999) Madurese. Newcastle: Lincom Europa."
"Maithili"	"MAIT"	"INDO-EUROPEAN (Indo-Aryan)"	"India and Nepal"	"pʰ,t̪ʰ,ʈʰ,tʃʰ,kʰ,p,t̪,ʈ,tʃ,k,ĩ,ũ,bʰ,d̪ʰ,ɖʰ,dʒʰ,ɡʰ,i,u,b,d̪,ɖ,dʒ,ɡ,ẽ,ə̃,õ,s̪,h,e,ə,o,m,n̪,ŋ,æ̃,ã,ɑ̃,ɾ̪,æ,a,ɑ,l̪,"		"Yadav, Ramawatar (1996) A Reference Grammar of Maithili. New York: Mouton de Gruyter."
"Malay"	"MALA"	"AUSTRONESIAN"	"Malaysia, Indonesia, Singapore"	"p,t,tʃ,k,ʔ,b,d,dʒ,ɡ,i,u,f,θ,s,ʃ,x,e,ə,o,v,ð,z,χ,a,m,n,ɲ,ŋ,r,l,w,j,h,"		"Teoh, Boon Seng (1988) Aspects of Malay Phonology Revisited – A Non-linear Approach. Ann Arbor: UMI."
